date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2024-11-09,21115.8475,25407.99,16743.34
2024-11-10,20520.9075,25094.94,15406.3
2024-11-11,23566.247083333335,28109.71,19772.1
2024-11-12,23604.877083333336,28130.08,20355.75
2024-11-13,23545.145416666666,27904.95,20519.43
2024-11-14,23226.787083333333,27528.31,20412.4
2024-11-15,23725.049166666664,27750.98,20713.53
2024-11-16,21517.798749999998,25699.65,16911.23
2024-11-17,21263.686666666665,25534.94,16701.29
2024-11-18,23342.676666666666,27917.62,20211.25
2024-11-19,23967.67583333333,28071.5,20718.06
2024-11-20,24336.380416666667,28174.26,21185.22
2024-11-21,23985.674166666668,27954.87,21103.65
2024-11-22,23999.25333333333,27847.86,20725.98
2024-11-23,22194.018333333337,25572.18,20194.39
2024-11-24,21155.254166666666,25306.52,17714.83
2024-11-25,24391.310833333333,28064.27,19895.39
2024-11-26,24353.926666666666,28076.71,20098.84
2024-11-27,24039.592083333333,27848.14,20629.57
2024-11-28,20963.116666666665,24251.72,17469.07
2024-11-29,21291.8175,24758.07,18890.9
2024-11-30,21377.374166666665,24849.91,18164.04
2024-12-01,20796.055,24952.27,17203.81
2024-12-02,23436.23125,27584.73,20117.07
2024-12-03,23722.07083333333,27917.82,20431.82
2024-12-04,23286.462083333332,27446.47,20131.08
2024-12-05,23425.509166666667,27216.55,20425.59
2024-12-06,22901.531666666666,26880.29,19575.43
2024-12-07,21097.537500000002,24945.71,17159.83
2024-12-08,21272.380833333333,25370.48,17757.54
2024-12-09,23654.793333333335,27825.36,20446.96
2024-12-10,24189.002916666665,28583.72,20831.91
2024-12-11,24459.923333333336,28114.57,21486.24
2024-12-12,24865.290833333333,28230.02,21365.95
2024-12-13,24679.486666666668,28114.02,21261.7
2024-12-14,22837.61666666667,26310.79,20651.86
2024-12-15,22094.501666666667,26433.18,18002.4
2024-12-16,25112.81708333333,29130.59,20878.63
2024-12-17,24819.404166666664,28963.6,21245.16
2024-12-18,25031.287500000002,29287.29,21208.88
2024-12-19,24611.135833333334,28549.32,21033.95
2024-12-20,23921.570000000003,27504.42,20596.79
2024-12-21,22147.882083333334,25484.34,19783.36
2024-12-22,21692.33208333333,25597.52,19315.18
2024-12-23,23879.142916666668,27956.74,19920.62
2024-12-24,22836.832916666666,26172.55,19935.97
2024-12-25,21047.580833333333,24309.24,17965.28
2024-12-26,22571.188333333335,25852.19,19880.02
2024-12-27,22702.437916666666,25870.06,19666.71
2024-12-28,21752.458333333332,25095.48,19520.0
2024-12-29,21080.259166666667,25360.21,18094.94
2024-12-30,23285.69083333333,27294.87,19591.75
2024-12-31,22536.159166666665,26426.05,19626.62
2025-01-01,21051.069583333334,24953.6,17229.31
2025-01-02,22522.375416666666,26215.86,19698.28
2025-01-03,23100.61,26458.87,19631.36
2025-01-04,21630.7225,25306.7,18600.44
2025-01-05,20897.65875,24954.24,16855.74
2025-01-06,22991.025833333333,27141.91,19503.18
2025-01-07,23502.740833333333,27600.25,20315.6
2025-01-08,22895.640833333335,27218.0,19479.35
2025-01-09,22793.37833333333,26788.01,19142.48
2025-01-10,22398.455,26017.59,18845.6
2025-01-11,20514.13666666667,24335.13,16053.0
